	train_id	stop_pa	t_northbound	timestamp	temp	precipiation	visability	windspeed	humidity	cloudcover	is_bullet	is_limited	tweet_id	is_delay	del_min	del_med	del_maj	del_cat	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	d_monday	d_tuesday	d_wednesday	d_thursday	d_friday	d_saturday	d_sunday
24	156.0	1.0	0.0	2015-06-08 16:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	425652872745819111424	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
25	258.0	1.0	0.0	2015-06-08 16:27:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	360627263837792702464	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
26	360.0	1.0	0.0	2015-06-08 16:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	376631266022410969089	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0
27	262.0	1.0	0.0	2015-06-08 17:03:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	360649734646515658753	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0
28	264.0	0.0	0.0	2015-06-08 17:10:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	287629101103167209472	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
29	366.0	1.0	0.0	2015-06-08 17:14:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	385628400683155238912	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
30	268.0	1.0	0.0	2015-06-08 17:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	385628383102797115392	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0
31	370.0	1.0	0.0	2015-06-08 17:51:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	278612073320557621248	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
32	272.0	1.0	0.0	2015-06-08 18:04:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	273651562206006382593	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
33	274.0	0.0	0.0	2015-06-08 18:10:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	375618587863039381505	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0
34	376.0	1.0	0.0	2015-06-08 18:14:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	323649614113706905600	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
35	278.0	1.0	0.0	2015-06-08 18:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	376613506922117869568	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
36	380.0	1.0	0.0	2015-06-08 18:51:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	274654111516560527360	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
37	282.0	1.0	0.0	2015-06-08 19:04:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	381654474906319482880	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
38	284.0	0.0	0.0	2015-06-08 19:10:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	385657378338906832896	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
39	386.0	1.0	0.0	2015-06-08 19:14:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	448673382409379811330	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
40	288.0	1.0	0.0	2015-06-08 19:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	284651595035083849728	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
41	190.0	1.0	0.0	2015-06-08 20:28:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	262651903395188604928	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
42	192.0	1.0	0.0	2015-06-08 21:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	151651868473686028288	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
43	194.0	1.0	0.0	2015-06-08 22:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	283626577938624831488	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
44	196.0	1.0	0.0	2015-06-08 23:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	197652015079878078464	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
45	101.0	1.0	1.0	2015-06-08 05:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
46	103.0	1.0	1.0	2015-06-08 05:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
47	305.0	1.0	1.0	2015-06-08 06:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	207.0	1.0	1.0	2015-06-08 06:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
49	309.0	1.0	1.0	2015-06-08 06:23:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	370615691078541316096	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50	211.0	0.0	1.0	2015-06-08 06:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
51	313.0	1.0	1.0	2015-06-08 07:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	268621132308528136192	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
52	215.0	1.0	1.0	2015-06-08 07:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
53	217.0	1.0	1.0	2015-06-08 07:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	323672813274136752128	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
54	319.0	1.0	1.0	2015-06-08 07:23:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	319687295289057624064	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
55	221.0	0.0	1.0	2015-06-08 07:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	314623494122045730816	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0
56	323.0	1.0	1.0	2015-06-08 08:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	440609889477117394944	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
57	225.0	1.0	1.0	2015-06-08 08:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	225689485484838416388	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
58	227.0	1.0	1.0	2015-06-08 08:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	269642144695741583360	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
59	329.0	1.0	1.0	2015-06-08 08:25:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	329689485484838416388	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
