	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	id	temp	precipiation	visability	windspeed	humidity	cloudcover
20	2	13	1	workday	'217', '319'	1	0	1	2016-01-13 15:29:00	319	687295289057624064	319687295289057624064	0	0	0	0	0	0	0	1	0	0	0	0	0	687295289057624064	56.3995833333	0.00230833333333	9.49208333333	8.03333333333	0.736666666667	0.256875
21	2	13	1	workday	'217', '319'	1	0	1	2016-01-13 15:29:00	319	687295289057624064	319687295289057624064	0	0	0	0	0	0	0	1	0	0	0	0	0	687295289057624064	56.3995833333	0.00230833333333	9.49208333333	8.03333333333	0.736666666667	0.256875
22	2	13	1	error	'156'	0	0	0	2016-01-13 01:22:06	156	687082156196139008	156687082156196139008	1	0	1	0	0	0	0	0	0	0	0	0	0	687082156196139008	56.3995833333	0.00230833333333	9.49208333333	8.03333333333	0.736666666667	0.256875
23	1	12	1	error	'150'	0	0	0	2016-01-12 22:33:39	150	687039767775543296	150687039767775543296	1	1	0	0	0	0	0	0	0	0	0	1	0	687039767775543296	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
24	1	12	1	rush_evening	'323', ''	1	0	1	2016-01-12 16:52:10	323	686953828432752640	323686953828432752640	1	1	0	0	0	0	0	0	0	0	0	0	0	686953828432752640	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
25	1	12	1	error	'366'	1	0	0	2016-01-12 03:36:53	366	686753687599841280	366686753687599841280	1	0	0	0	0	1	0	0	0	0	0	0	0	686753687599841280	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
26	1	12	1	error	'366'	1	0	0	2016-01-12 03:19:25	366	686749292250267648	366686749292250267648	1	0	0	0	0	1	0	0	0	0	0	0	0	686749292250267648	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
27	1	12	1	error	'273', '366'	0	1	1	2016-01-12 02:59:33	273	686744294753828864	375686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686744294753828864	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
28	1	12	1	error	'273', '366'	0	1	1	2016-01-12 02:59:33	273	686744294753828864	375686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686744294753828864	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
29	1	12	1	error	'273', '366'	1	0	0	2016-01-12 02:59:33	366	686744294753828864	279686744294753828864	1	0	0	0	1	1	0	0	0	0	0	0	0	686744294753828864	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
30	1	12	1	error	'273', '366'	1	0	0	2016-01-12 02:59:33	366	686744294753828864	279686744294753828864	1	0	0	0	1	1	0	0	0	0	0	0	0	686744294753828864	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
31	1	12	1	error	'375', '277'	1	0	1	2016-01-12 02:14:59	375	686733080246108160	366686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686733080246108160	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
32	1	12	1	error	'375', '277'	1	0	1	2016-01-12 02:14:59	375	686733080246108160	366686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686733080246108160	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
33	1	12	1	error	'375', '277'	0	1	1	2016-01-12 02:14:59	277	686733080246108160	277686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686733080246108160	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
