	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event
39	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
40	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
41	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
42	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
43	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
44	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
45	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
46	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0
47	1	29	12	error	'142'	0	0	0	2015-12-29 20:14:23	142	681931288505221120	268684196735107768320	1	1	0	0	0	0	0	0	0	0	0	0	0
48	1	29	12	error	'264'	0	1	0	2015-12-29 01:54:47	264	681654564676743168	139684094621610147840	1	0	1	0	0	0	0	0	0	0	0	0	0
49	2	23	12	error	'268'	0	1	0	2015-12-23 02:19:14	268	679486389453340673	142681931288505221120	1	0	1	0	0	0	0	0	0	1	0	0	0
50	5	19	12	error	'258'	0	1	0	2015-12-19 00:34:46	258	678010549586673664	264681654564676743168	1	0	0	0	0	0	0	0	0	0	1	0	0
51	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:32:20	233	677179463868678144	268679486389453340673	1	0	0	0	0	0	0	0	0	0	0	0	0
52	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:27:35	233	677178271390302208	258678010549586673664	1	0	1	0	0	0	0	0	0	0	0	0	0
53	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:15:53	233	677175327299264512	233677179463868678144	1	0	0	1	0	0	0	0	0	0	0	1	0
54	2	16	12	error	'365'	1	0	1	2015-12-16 01:07:55	365	676931727684673537	233677178271390302208	1	0	0	1	0	0	0	0	0	0	0	1	0
55	5	12	12	error	'287'	0	1	1	2015-12-12 04:01:10	287	675525778021289984	233677175327299264512	1	0	0	0	0	0	0	0	0	0	0	1	0
56	4	11	12	error	'151', ''	0	0	1	2015-12-11 22:30:59	151	675442683830099968	365676931727684673537	1	0	1	0	0	0	0	0	0	1	0	0	0
57	4	11	12	error	'254'	0	1	0	2015-12-11 00:27:40	254	675109660169527296	287675525778021289984	1	0	0	0	0	0	0	0	1	0	0	0	0
58	2	9	12	error	'276'	0	1	0	2015-12-09 02:01:02	276	674408380635549696	151675442683830099968	1	0	1	0	0	0	0	0	0	0	0	0	0
59	0	7	12	rush_evening	'134', ''	0	0	0	2015-12-07 18:06:47	134	673926641786097665	254675109660169527296	1	0	1	0	0	0	0	0	0	0	0	0	0
60	0	7	12	rush_evening	'134'	0	0	0	2015-12-07 18:01:10	134	673925231744958464	276674408380635549696	0	0	0	0	0	0	0	0	0	0	0	0	0
61	6	6	12	error	'448'	0	0	0	2015-12-06 06:10:45	448	673384060673110016	134673926641786097665	0	0	1	0	0	0	0	0	0	1	0	0	0
62	6	6	12	error	'448'	0	0	0	2015-12-06 06:04:11	448	673382409379811330	134673925231744958464	1	0	0	0	0	0	0	0	0	1	0	0	0
63	6	6	12	error	'443'	0	0	1	2015-12-06 03:24:33	443	673342234113130496	448673384060673110016	1	0	0	0	0	0	0	0	0	1	0	0	0
64	5	5	12	error	'386'	1	0	0	2015-12-05 03:27:06	386	672980488030580737	448673382409379811330	1	0	0	0	0	0	0	0	0	1	0	0	0
65	5	5	12	error	'381'	1	0	1	2015-12-05 01:47:15	381	672955360236273664	443673342234113130496	1	0	1	0	0	0	0	0	0	0	0	0	0
66	5	5	12	error	'375'	1	0	1	2015-12-05 01:29:57	375	672951005223358464	386672980488030580737	1	0	0	0	0	0	0	0	1	0	0	0	0
67	5	5	12	error	'156'	0	0	0	2015-12-05 00:28:16	156	672935485593915392	381672955360236273664	1	0	0	0	0	0	0	1	0	0	0	0	0
68	4	4	12	error	'151'	0	0	1	2015-12-04 22:06:09	151	672899720470134784	375672951005223358464	1	0	0	0	0	0	0	1	0	0	0	0	0
69	4	4	12	rush_evening	'323'	1	0	1	2015-12-04 16:22:39	323	672813274136752128	156672935485593915392	1	0	1	0	0	0	0	0	0	0	0	0	0
70	4	4	12	workday	'217'	0	1	1	2015-12-04 15:22:35	217	672798159689539586	151672899720470134784	1	0	1	0	0	0	0	0	0	0	0	0	0
71	4	4	12	workday	'217'	0	1	1	2015-12-04 14:37:25	217	672786792542638080	323672813274136752128	1	0	1	0	0	0	0	1	0	0	0	0	0
72	4	4	12	error	'254'	0	1	0	2015-12-04 00:04:17	254	672567058131881985	217672798159689539586	0	0	0	0	0	0	0	0	0	0	0	0	0
73	3	3	12	error	'375'	1	0	1	2015-12-03 02:13:39	375	672237226944696320	217672786792542638080	1	0	0	0	0	0	1	0	0	0	1	0	0
74	3	3	12	error	'375'	1	0	1	2015-12-03 02:12:53	375	672237036493889536	254672567058131881985	1	0	1	0	0	0	0	0	0	0	0	0	0
75	2	2	12	error	'142', ''	0	0	0	2015-12-02 20:00:58	142	672143440218423296	375672237226944696320	1	0	0	0	0	0	0	0	0	1	0	0	0
76	2	2	12	rush_evening	'142', ''	0	0	0	2015-12-02 19:32:08	142	672136181862162432	375672237036493889536	1	0	1	0	0	0	0	0	0	1	0	0	0
77	2	2	12	rush_evening	'138'	0	0	0	2015-12-02 19:22:39	138	672133796309831680	142672143440218423296	1	0	1	0	0	0	0	0	0	0	0	0	0
78	2	2	12	rush_evening	'138'	0	0	0	2015-12-02 19:11:35	138	672131010629206016	142672136181862162432	1	0	0	0	0	0	0	0	0	0	1	0	0
79	1	1	12	error	'147'	0	0	1	2015-12-01 21:01:59	147	671796409230749697	138672133796309831680	0	0	0	0	0	0	0	0	0	0	0	0	0
80	1	1	12	rush_evening	'135'	0	0	1	2015-12-01 18:26:49	135	671757356204617729	138672131010629206016	1	0	1	0	0	0	0	0	0	0	1	0	0
81	1	1	12	workday	'227'	0	1	1	2015-12-01 15:32:37	227	671713520472350721	147671796409230749697	1	0	1	0	0	0	0	0	0	0	0	0	0
82	0	30	11	rush_evening	'233', '135'	0	1	1	2015-11-30 18:30:19	233	671395851244179456	135671757356204617729	1	0	1	0	0	0	0	0	0	0	0	0	0
83	0	30	11	rush_evening	'233', '135'	0	0	1	2015-11-30 18:30:19	135	671395851244179456	227671713520472350721	1	0	0	0	0	0	0	0	1	0	0	0	0
84	0	30	11	rush_evening	'135', ''	0	0	1	2015-11-30 18:06:26	135	671389838826856448	233671395851244179456	1	1	0	0	0	0	1	0	0	0	0	0	0
