	train_id	stop_pa	t_northbound	time_pa	timestamp	temp	precipiation	visability	windspeed	humidity	cloudcover
40	288.0	1.0	0.0	2015-06-08 19:40:00	2015-06-08 19:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
41	190.0	1.0	0.0	2015-06-08 20:28:00	2015-06-08 20:28:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
42	192.0	1.0	0.0	2015-06-08 21:38:00	2015-06-08 21:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
43	194.0	1.0	0.0	2015-06-08 22:38:00	2015-06-08 22:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
44	196.0	1.0	0.0	2015-06-08 23:38:00	2015-06-08 23:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
45	101.0	1.0	1.0	2015-06-08 05:01:00	2015-06-08 05:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
46	103.0	1.0	1.0	2015-06-08 05:36:00	2015-06-08 05:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
47	305.0	1.0	1.0	2015-06-08 06:05:00	2015-06-08 06:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
48	207.0	1.0	1.0	2015-06-08 06:36:00	2015-06-08 06:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
49	309.0	1.0	1.0	2015-06-08 06:23:00	2015-06-08 06:23:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
50	211.0	0.0	1.0	2015-06-08 06:40:00	2015-06-08 06:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
51	313.0	1.0	1.0	2015-06-08 07:05:00	2015-06-08 07:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
52	215.0	1.0	1.0	2015-06-08 07:16:00	2015-06-08 07:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
53	217.0	1.0	1.0	2015-06-08 07:36:00	2015-06-08 07:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
54	319.0	1.0	1.0	2015-06-08 07:23:00	2015-06-08 07:23:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
55	221.0	0.0	1.0	2015-06-08 07:40:00	2015-06-08 07:40:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
56	323.0	1.0	1.0	2015-06-08 08:05:00	2015-06-08 08:05:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
57	225.0	1.0	1.0	2015-06-08 08:16:00	2015-06-08 08:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
58	227.0	1.0	1.0	2015-06-08 08:36:00	2015-06-08 08:36:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
59	329.0	1.0	1.0	2015-06-08 08:25:00	2015-06-08 08:25:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
60	231.0	0.0	1.0	2015-06-08 08:50:00	2015-06-08 08:50:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
61	233.0	1.0	1.0	2015-06-08 09:14:00	2015-06-08 09:14:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
62	135.0	1.0	1.0	2015-06-08 09:46:00	2015-06-08 09:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
63	237.0	1.0	1.0	2015-06-08 10:21:00	2015-06-08 10:21:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
64	139.0	1.0	1.0	2015-06-08 10:46:00	2015-06-08 10:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
65	143.0	1.0	1.0	2015-06-08 11:41:00	2015-06-08 11:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
66	147.0	1.0	1.0	2015-06-08 12:41:00	2015-06-08 12:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
67	151.0	1.0	1.0	2015-06-08 13:41:00	2015-06-08 13:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
68	155.0	1.0	1.0	2015-06-08 14:46:00	2015-06-08 14:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
69	257.0	1.0	1.0	2015-06-08 15:11:00	2015-06-08 15:11:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
70	159.0	1.0	1.0	2015-06-08 15:38:00	2015-06-08 15:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
71	261.0	1.0	1.0	2015-06-08 16:16:00	2015-06-08 16:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
72	263.0	1.0	1.0	2015-06-08 16:24:00	2015-06-08 16:24:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
73	365.0	1.0	1.0	2015-06-08 16:43:00	2015-06-08 16:43:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
74	267.0	1.0	1.0	2015-06-08 16:54:00	2015-06-08 16:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
75	269.0	1.0	1.0	2015-06-08 17:16:00	2015-06-08 17:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
76	371.0	1.0	1.0	2015-06-08 17:06:00	2015-06-08 17:06:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
77	273.0	1.0	1.0	2015-06-08 17:26:00	2015-06-08 17:26:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
78	375.0	1.0	1.0	2015-06-08 17:44:00	2015-06-08 17:44:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
79	277.0	1.0	1.0	2015-06-08 17:54:00	2015-06-08 17:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
80	279.0	1.0	1.0	2015-06-08 18:16:00	2015-06-08 18:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
81	381.0	1.0	1.0	2015-06-08 18:06:00	2015-06-08 18:06:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
82	283.0	1.0	1.0	2015-06-08 18:24:00	2015-06-08 18:24:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
83	385.0	1.0	1.0	2015-06-08 18:43:00	2015-06-08 18:43:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
